Total messages: 81 (Errors: 78, Warnings: 0)
Returning 78 messages for level "error"

[ERROR] WebSocket connection to 'ws://127.0.0.1:3333/ws?token=9214b31960f7e9662452d24800ed3e7ad803080f45789290b36d2039b3c29ff1' failed: HTTP Authentication failed; no valid credentials available @ http://localhost:1420/@fs/D:/Projects/MS%20Claw/waggle-poc/packages/ui/src/services/local-adapter.ts:38
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/client-global-finance/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/client-matter-2026-042/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/client-techstart-inc/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/data-analysis-q1/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/dijana-architecture-lab/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/dijana-architecture-lab-2/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/dijana-architecture-lab-r3/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/executive-dashboard/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/graphene-battery-research/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/hr-recruiting-pipeline/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/ivo-chaos-day/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/ivo-chaos-lab/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/ivo-chaos-lab-r2/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/ivo-chaos-lab-r3/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/lead-generation/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/marketing/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/marketing-q2-campaign/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/marko-dev-workspace/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/marko-engineering-mega-uat/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/memory-test-mega/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/mia-client-alpha-corp/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/mia-client-beta-inc/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/ministry-of-finance-ai-strategy-4/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/nikola-isolation-test/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/ministry-of-finance-ai-strategy/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/ministry-of-finance-ai-strategy-2/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/ministry-of-finance-ai-strategy-3/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/mirela-glass-brain/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/my-first-project/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/personal-quarterly-review/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/personal-quarterly-review-2/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/personal-quarterly-review-3/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/personal-quarterly-review-4/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/qa-functional-audit/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/quantum-computing-self-study-2/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/quantum-computing-self-study-3/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/quantum-computing-self-study-4/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/quantum-computing-self-study-r3/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/retailco-digital-transformation/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/retailco-digital-transformation-2/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/retailco-digital-transformation-3/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/retailco-digital-transformation-4/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/sara-marketing-mega-uat/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/sara-uat-marketing/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/social-networks-content/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/sprint-47-coordination/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/telco-cee-m-a-advisory/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/telco-cee-m-a-advisory-2/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/telco-cee-m-a-advisory-3/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/telco-cee-m-a-advisory-4/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/test-project/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/uat-engineering/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/uat-legal/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/workspaces/uat-marketing/context:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/capabilities/status:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/offline/status:0
[ERROR] Failed to load resource: the server responded with a status of 401 (Unauthorized) @ http://127.0.0.1:3333/api/offline/status:0
